lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag,prediction_label,prediction_score
33.8883,-118.3828,11,3,1,19,0,1,1.0
34.0213,-118.1598,2,3,0,11,0,0,1.0
33.9833,-118.1208,10,2,0,16,0,0,1.0
34.0443,-118.2698,0,4,0,0,1,1,0.614
34.0443,-118.2698,0,1,0,0,0,1,0.5862
33.9233,-118.1348,10,4,0,18,1,0,1.0
33.9103,-118.1758,6,2,0,16,1,1,1.0
34.0373,-118.1008,5,2,0,16,0,1,1.0
33.9263,-118.1148,2,1,1,19,1,1,1.0
34.0443,-118.2698,4,2,0,0,1,1,0.5273
33.9863,-118.4788,10,4,0,21,0,1,1.0
33.8733,-118.1448,0,4,0,21,0,1,1.0
33.8553,-118.2518,6,2,0,18,1,0,1.0
33.8853,-118.2988,10,4,1,16,1,1,1.0
33.9013,-118.3368,0,2,0,15,1,1,1.0
33.9013,-118.1068,4,2,0,21,0,0,1.0
34.0373,-118.2498,4,2,1,2,0,1,1.0
33.8483,-118.1848,9,3,1,21,0,1,1.0
33.9513,-118.4608,3,2,0,21,0,0,1.0
34.0023,-118.4198,7,2,0,15,1,0,1.0
34.0143,-118.1948,6,4,0,8,0,0,1.0
33.8953,-118.2758,2,3,0,14,0,1,1.0
34.0443,-118.2698,6,1,1,0,1,1,0.6667
34.0293,-118.2738,5,2,0,1,1,0,1.0
33.9093,-118.1258,5,1,0,19,0,1,1.0
33.9363,-118.1538,6,4,1,15,0,0,1.0
33.9023,-118.1668,5,2,0,17,1,1,1.0
34.0443,-118.2698,6,4,0,0,1,1,0.7941
33.8873,-118.1708,2,1,0,18,1,1,1.0
33.9833,-118.1958,10,1,1,9,0,1,1.0
33.8653,-118.1628,9,3,0,20,1,0,1.0
34.0293,-118.2808,8,1,1,1,1,0,1.0
33.9063,-118.3818,7,1,0,17,1,0,1.0
34.0003,-118.2798,8,4,0,4,0,1,1.0
33.9293,-118.3978,2,3,0,17,1,0,1.0
34.0443,-118.2698,4,4,0,0,0,1,0.5435
34.0443,-118.2658,5,4,0,0,1,1,1.0
33.9033,-118.3978,8,1,0,19,0,0,1.0
33.9393,-118.2908,1,3,0,10,1,0,1.0
33.9893,-118.2548,10,3,0,5,1,0,1.0
33.9513,-118.3678,7,1,0,13,0,1,1.0
33.8743,-118.3698,6,1,0,19,1,0,1.0
33.9593,-118.1238,0,3,0,16,1,0,1.0
33.9623,-118.1028,11,3,0,18,0,0,1.0
34.0223,-118.2978,0,1,0,3,0,1,1.0
34.0183,-118.2848,2,1,0,3,0,0,1.0
34.0443,-118.2698,9,3,0,0,1,1,0.6207
33.8933,-118.2648,1,2,0,15,0,0,1.0
33.9203,-118.1998,3,3,1,14,0,0,1.0
34.0443,-118.2668,2,1,1,0,1,1,1.0
34.0443,-118.2698,5,1,0,0,1,1,0.5833
33.9243,-118.2378,9,4,1,12,1,0,1.0
34.0553,-118.4098,4,1,1,14,1,0,1.0
33.9183,-118.2658,8,3,0,12,0,0,1.0
33.9863,-118.3318,4,3,0,8,0,1,1.0
34.0443,-118.2698,10,1,1,0,0,1,0.75
33.8993,-118.1978,2,3,0,16,1,1,1.0
33.8953,-118.1018,4,2,0,22,1,1,1.0
33.9973,-118.1978,5,1,0,8,1,1,1.0
34.0103,-118.2268,3,4,0,5,1,1,1.0
33.8473,-118.1698,6,3,0,22,1,1,1.0
34.0443,-118.2698,1,3,0,0,1,1,0.5116
33.9643,-118.1178,3,4,0,17,0,1,1.0
34.0143,-118.3158,8,2,1,5,0,0,1.0
33.9243,-118.3588,8,1,0,14,0,0,1.0
33.8943,-118.3818,2,4,0,18,0,0,1.0
34.0073,-118.3068,2,2,0,5,1,0,1.0
34.0443,-118.2698,6,1,0,0,0,1,0.6765
34.0123,-118.2078,6,4,0,6,0,0,1.0
33.9403,-118.3928,7,4,1,16,1,0,1.0
33.9673,-118.2758,6,2,0,7,1,0,1.0
33.9473,-118.3318,9,1,1,11,0,0,1.0
34.0203,-118.2608,2,2,0,2,0,0,1.0
33.8933,-118.1878,8,3,0,17,1,0,1.0
34.0443,-118.2698,4,1,0,0,1,1,0.675
34.0443,-118.2698,2,3,0,0,1,1,0.6579
